corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,rfmj.0,4023,4167,joseph,4083,4089,meinen,joseph
gdc,rfmj.0,4362,4629,joseph,4374,4377,ich,joseph
gdc,rfmj.0,4362,4629,joseph,4437,4440,ich,joseph
gdc,rfmj.0,4362,4629,joseph,4517,4520,ich,joseph
gdc,rfmj.0,4362,4629,joseph,4537,4540,ich,joseph
gdc,rfmj.0,4362,4629,joseph,4543,4546,ich,joseph
gdc,rfmj.0,4650,4803,joseph,4680,4683,ich,joseph
gdc,rfmj.0,4852,4950,joseph,4906,4912,meinen,joseph
gdc,rfmj.0,5228,5397,joseph,5257,5260,ich,joseph
gdc,rfmj.0,5228,5397,joseph,5278,5281,ich,joseph
gdc,rfmj.0,5602,5966,joseph,5673,5676,Ich,joseph
gdc,rfmj.0,5989,6131,joseph,6095,6098,mir,joseph
gdc,rfmj.0,6265,6316,helene,6283,6286,mir,helene
gdc,rfmj.0,6321,6431,joseph,6368,6372,mein,joseph
gdc,rfmj.0,6321,6431,joseph,6388,6391,ich,joseph
gdc,rfmj.0,6436,6522,helene,6462,6465,mir,helene
gdc,rfmj.0,6546,6945,helene,6648,6651,ich,helene
gdc,rfmj.0,6546,6945,helene,6767,6770,ich,helene
gdc,rfmj.0,6546,6945,helene,6793,6796,Ich,helene
gdc,rfmj.0,6546,6945,helene,6806,6809,mir,helene
gdc,rfmj.0,6546,6945,helene,6871,6875,mich,helene
gdc,rfmj.0,6546,6945,helene,6924,6927,ich,helene
gdc,rfmj.0,6989,7040,helene,7007,7010,ich,helene
gdc,rfmj.0,7045,7224,joseph,7088,7091,ich,joseph
gdc,rfmj.0,7045,7224,joseph,7115,7118,ich,joseph
gdc,rfmj.0,7045,7224,joseph,7119,7123,mich,joseph
gdc,rfmj.0,7045,7224,joseph,7216,7219,ich,joseph
gdc,rfmj.0,7229,7587,helene,7237,7240,Ich,helene
gdc,rfmj.0,7229,7587,helene,7292,7295,ich,helene
gdc,rfmj.0,7229,7587,helene,7334,7337,Ich,helene
gdc,rfmj.0,7229,7587,helene,7345,7348,ich,helene
gdc,rfmj.0,7229,7587,helene,7376,7379,ich,helene
gdc,rfmj.0,7229,7587,helene,7510,7513,mir,helene
gdc,rfmj.0,7229,7587,helene,7555,7559,mich,helene
gdc,rfmj.0,7790,7830,helene,7798,7801,Ich,helene
gdc,rfmj.0,7835,8219,joseph,7857,7860,ich,joseph
gdc,rfmj.0,7835,8219,joseph,7939,7943,mich,joseph
gdc,rfmj.0,7835,8219,joseph,7950,7953,ich,joseph
gdc,rfmj.0,7835,8219,joseph,7966,7969,ich,joseph
gdc,rfmj.0,7835,8219,joseph,7987,7990,ich,joseph
gdc,rfmj.0,7835,8219,joseph,8076,8079,ich,joseph
gdc,rfmj.0,7835,8219,joseph,8113,8116,Ich,joseph
gdc,rfmj.0,7835,8219,joseph,8124,8127,ich,joseph
gdc,rfmj.0,7835,8219,joseph,8136,8139,mir,joseph
gdc,rfmj.0,8440,8602,helene,8572,8575,ich,helene
gdc,rfmj.0,8440,8602,helene,8583,8586,Ich,helene
gdc,rfmj.0,8650,8708,helene,8690,8693,Ich,helene
gdc,rfmj.0,8713,8824,joseph,8726,8729,ich,joseph
gdc,rfmj.0,8713,8824,joseph,8814,8817,mir,joseph
gdc,rfmj.0,8829,8914,helene,8844,8847,Ich,helene
gdc,rfmj.0,8919,9117,joseph,8931,8934,mir,joseph
gdc,rfmj.0,8919,9117,joseph,8989,8992,Ich,joseph
gdc,rfmj.0,8919,9117,joseph,9102,9105,mir,joseph
gdc,rfmj.0,9604,9687,joseph,9643,9647,mein,joseph
gdc,rfmj.0,9604,9687,joseph,9668,9671,ich,joseph
gdc,rfmj.0,10489,10910,joseph,10840,10843,ich,joseph
gdc,rfmj.0,10489,10910,joseph,10895,10898,mir,joseph
gdc,rfmj.0,10933,10997,joseph,10949,10952,Ich,joseph
gdc,rfmj.0,10933,10997,joseph,10955,10958,ich,joseph
gdc,rfmj.0,10933,10997,joseph,10961,10964,ich,joseph
gdc,rfmj.0,11098,11151,helene,11106,11109,Ich,helene
gdc,rfmj.0,11342,11559,joseph,11499,11504,meine,joseph
gdc,rfmj.0,11342,11559,joseph,11528,11531,ich,joseph
gdc,rfmj.0,11342,11559,joseph,11532,11536,mich,joseph
gdc,rfmj.0,11612,11842,joseph,11651,11654,ich,joseph
gdc,rfmj.0,11612,11842,joseph,11796,11799,ich,joseph
gdc,rfmj.0,11912,12263,joseph,11924,11927,ich,joseph
gdc,rfmj.0,11912,12263,joseph,11930,11933,ich,joseph
gdc,rfmj.0,11912,12263,joseph,12034,12037,mir,joseph
gdc,rfmj.0,11912,12263,joseph,12051,12055,mich,joseph
gdc,rfmj.0,11912,12263,joseph,12090,12093,Ich,joseph
gdc,rfmj.0,11912,12263,joseph,12096,12099,ich,joseph
gdc,rfmj.0,11912,12263,joseph,12122,12126,mich,joseph
gdc,rfmj.0,12313,12371,helene,12351,12358,Babette,babette
gdc,rfmj.0,12376,12484,joseph,12384,12391,Babette,babette
gdc,rfmj.0,12376,12484,joseph,12411,12418,Babette,babette
gdc,rfmj.0,12562,12685,joseph,12613,12616,mir,joseph
gdc,rfmj.0,14563,14888,helene,14603,14606,Ich,helene
gdc,rfmj.0,14893,14949,heinrich,14908,14911,ich,heinrich
gdc,rfmj.0,15103,15224,heinrich,15130,15133,Ich,heinrich
gdc,rfmj.0,15103,15224,heinrich,15179,15182,Ich,heinrich
gdc,rfmj.0,15103,15224,heinrich,15194,15197,mir,heinrich
gdc,rfmj.0,15229,15346,helene,15267,15270,ich,helene
gdc,rfmj.0,15229,15346,helene,15302,15305,ich,helene
gdc,rfmj.0,15351,15586,heinrich,15361,15364,Ich,heinrich
gdc,rfmj.0,15667,15750,heinrich,15696,15699,ich,heinrich
gdc,rfmj.0,15755,15806,helene,15776,15779,ich,helene
gdc,rfmj.0,15811,15905,heinrich,15850,15853,ich,heinrich
gdc,rfmj.0,15811,15905,heinrich,15874,15877,Ich,heinrich
gdc,rfmj.0,15931,16082,heinrich,15941,15944,Ich,heinrich
gdc,rfmj.0,15931,16082,heinrich,15963,15969,meiner,heinrich
gdc,rfmj.0,15931,16082,heinrich,16029,16032,ich,heinrich
gdc,rfmj.0,16087,16138,helene,16115,16119,mich,helene
gdc,rfmj.0,16143,16487,heinrich,16211,16214,ich,heinrich
gdc,rfmj.0,16143,16487,heinrich,16274,16277,ich,heinrich
gdc,rfmj.0,16143,16487,heinrich,16356,16359,Ich,heinrich
gdc,rfmj.0,16143,16487,heinrich,16388,16394,meiner,heinrich
gdc,rfmj.0,16143,16487,heinrich,16454,16457,ich,heinrich
gdc,rfmj.0,16725,16920,heinrich,16735,16738,Ich,heinrich
gdc,rfmj.0,16725,16920,heinrich,16751,16757,meinen,heinrich
