corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,n0xc.0,552,564,_stage,552,556,Cili,cili
gdc,n0xc.0,872,887,_stage,872,876,Cili,cili
gdc,n0xc.0,872,887,_stage,880,886,Eggert,eggert
gdc,n0xc.0,889,1084,eggert,1046,1050,Cili,cili
gdc,n0xc.0,1089,1322,cili,1114,1120,Eggert,eggert
gdc,n0xc.0,1327,1647,eggert,1346,1350,Cili,cili
gdc,n0xc.0,1652,1739,cili,1692,1698,Eggert,eggert
gdc,n0xc.0,1776,1880,cili,1850,1856,Eggert,eggert
gdc,n0xc.0,1885,1919,eggert,1914,1918,Cili,cili
gdc,n0xc.0,2022,2043,cili,2036,2042,Eggert,eggert
gdc,n0xc.0,2081,2145,cili,2087,2093,Eggert,eggert
gdc,n0xc.0,2150,2310,eggert,2171,2175,Cili,cili
gdc,n0xc.0,2315,2472,cili,2347,2353,Eggert,eggert
gdc,n0xc.0,2477,2633,eggert,2514,2518,Cili,cili
gdc,n0xc.0,2638,2752,cili,2656,2662,Eggert,eggert
gdc,n0xc.0,2757,2947,eggert,2842,2846,Cili,cili
gdc,n0xc.0,2952,3153,cili,3085,3091,Eggert,eggert
gdc,n0xc.0,3158,3549,eggert,3170,3174,Cili,cili
gdc,n0xc.0,3158,3549,eggert,3543,3547,Harm,harm
gdc,n0xc.0,3554,3581,cili,3572,3576,Harm,harm
gdc,n0xc.0,3586,4039,eggert,3598,3602,Cili,cili
gdc,n0xc.0,3586,4039,eggert,3856,3860,Cili,cili
gdc,n0xc.0,3586,4039,eggert,3870,3874,Harm,harm
gdc,n0xc.0,4044,4077,cili,4070,4076,Eggert,eggert
gdc,n0xc.0,4082,4310,eggert,4096,4100,Cili,cili
gdc,n0xc.0,4082,4310,eggert,4188,4192,Harm,harm
gdc,n0xc.0,4082,4310,eggert,4235,4239,Cili,cili
gdc,n0xc.0,4082,4310,eggert,4252,4256,Harm,harm
gdc,n0xc.0,4315,4483,cili,4435,4441,Eggert,eggert
gdc,n0xc.0,4488,4605,eggert,4539,4543,Harm,harm
gdc,n0xc.0,4488,4605,eggert,4600,4604,Cili,cili
gdc,n0xc.0,4652,5166,eggert,4852,4856,Cili,cili
gdc,n0xc.0,4652,5166,eggert,4980,4984,Harm,harm
gdc,n0xc.0,4652,5166,eggert,5161,5165,Harm,harm
gdc,n0xc.0,5193,5541,eggert,5327,5331,Harm,harm
gdc,n0xc.0,5193,5541,eggert,5423,5427,Cili,cili
gdc,n0xc.0,5546,5580,cili,5565,5571,Eggert,eggert
gdc,n0xc.0,5720,5871,eggert,5756,5760,Cili,cili
gdc,n0xc.0,5720,5871,eggert,5866,5870,Cili,cili
gdc,n0xc.0,5876,6232,cili,5895,5901,Eggert,eggert
gdc,n0xc.0,6237,6429,eggert,6258,6262,Cili,cili
gdc,n0xc.0,6237,6429,eggert,6342,6346,Cili,cili
gdc,n0xc.0,6237,6429,eggert,6364,6368,Harm,harm
gdc,n0xc.0,6565,6594,eggert,6589,6593,Cili,cili
gdc,n0xc.0,6599,6701,cili,6609,6615,Eggert,eggert
gdc,n0xc.0,6751,6887,cili,6763,6769,Eggert,eggert
gdc,n0xc.0,6751,6887,cili,6821,6827,Paulus,paulus
gdc,n0xc.0,6892,6945,eggert,6918,6922,Cili,cili
gdc,n0xc.0,6892,6945,eggert,6935,6939,Harm,harm
gdc,n0xc.0,6950,6973,cili,6966,6972,Eggert,eggert
gdc,n0xc.0,6978,7017,eggert,7002,7006,Cili,cili
gdc,n0xc.0,7087,7102,_stage,7087,7091,Cili,cili
gdc,n0xc.0,7087,7102,_stage,7095,7101,Hubert,hubert
gdc,n0xc.0,7104,7162,hubert,7133,7137,Cili,cili
gdc,n0xc.0,7167,7282,cili,7202,7208,Hubert,hubert
gdc,n0xc.0,7287,7479,hubert,7335,7339,Cili,cili
gdc,n0xc.0,7287,7479,hubert,7373,7377,Cili,cili
gdc,n0xc.0,7527,7727,hubert,7571,7575,Cili,cili
gdc,n0xc.0,7527,7727,hubert,7662,7666,Cili,cili
gdc,n0xc.0,7732,7796,cili,7745,7751,Hubert,hubert
gdc,n0xc.0,7802,7955,hubert,7855,7859,Cili,cili
gdc,n0xc.0,7802,7955,hubert,7940,7944,Cili,cili
gdc,n0xc.0,7960,8053,cili,8011,8017,Hubert,hubert
gdc,n0xc.0,8058,8095,hubert,8090,8094,Cili,cili
gdc,n0xc.0,8100,8147,cili,8140,8146,Hubert,hubert
gdc,n0xc.0,8152,8227,hubert,8171,8175,Cili,cili
gdc,n0xc.0,8232,8322,cili,8257,8263,Hubert,hubert
gdc,n0xc.0,8327,8418,hubert,8379,8383,Cili,cili
gdc,n0xc.0,8423,8529,cili,8429,8435,Hubert,hubert
gdc,n0xc.0,8535,8658,hubert,8562,8566,Cili,cili
gdc,n0xc.0,8663,8819,cili,8675,8681,Hubert,hubert
gdc,n0xc.0,8824,9077,hubert,8899,8903,Cili,cili
gdc,n0xc.0,8824,9077,hubert,9046,9050,Cili,cili
gdc,n0xc.0,9111,9176,hubert,9135,9139,Cili,cili
gdc,n0xc.0,9181,9246,cili,9198,9204,Paulus,paulus
gdc,n0xc.0,9251,9403,hubert,9357,9361,Cili,cili
gdc,n0xc.0,9434,9536,hubert,9451,9455,Cili,cili
gdc,n0xc.0,9541,9610,cili,9569,9575,Hubert,hubert
gdc,n0xc.0,9752,9816,cili,9785,9791,Hubert,hubert
gdc,n0xc.0,9821,9891,hubert,9856,9860,Cili,cili
gdc,n0xc.0,9932,9998,hubert,9963,9967,Cili,cili
gdc,n0xc.0,10003,10154,cili,10112,10118,Paulus,paulus
gdc,n0xc.0,10159,10262,hubert,10214,10218,Cili,cili
gdc,n0xc.0,10267,10407,cili,10323,10329,Hubert,hubert
gdc,n0xc.0,10427,10441,_stage,10427,10433,Hubert,hubert
gdc,n0xc.0,10443,10692,hubert,10461,10465,Cili,cili
gdc,n0xc.0,10443,10692,hubert,10467,10471,Cili,cili
gdc,n0xc.0,10443,10692,hubert,10473,10477,Cili,cili
gdc,n0xc.0,10443,10692,hubert,10578,10582,Cili,cili
gdc,n0xc.0,10443,10692,hubert,10657,10661,Cili,cili
