corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,jn6k.0,888,1007,Knechte,knechte,Glei,ADJD,glei,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,is,KOUS,--,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,die,ART,der,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,Sunn,NN,sunn,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,am,APPRART,an,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,Platz,NN,platz,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,",","$,",--,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,Mußt,VVIMP,mussen,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,dich,PPER,dich,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,halt,ADV,halt,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,schlaun,ADJD,schlaun,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,",","$,",--,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,Sunsten,NN,sunsten,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,",","$,",--,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,mein,PPOSAT,mein,22342,knechte,(12)
gdc,jn6k.0,888,1007,Knechte,knechte,lieber,ADJA,lieber,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,Schatz,NN,schatz,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,",","$,",--,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,Brennt,NE,brennt,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,s,PPER,--,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,',$(,--,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,dich,PPER,dich,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,ganz,ADV,ganz,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,braun,ADJD,braun,22342,,
gdc,jn6k.0,888,1007,Knechte,knechte,.,$.,--,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,Mei,APPR,mei,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,Bub,NN,bub,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,",","$,",--,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,geh,XY,geh,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,",","$,",--,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,sag,VVFIN,sag,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,ma,PPER,ma,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,no,ADV,--,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,.,$.,--,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,Was,PWS,was,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,kümmert,VVFIN,kümmern,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,',$(,--,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,s,PPER,--,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,dich,PPER,dich,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,?,$.,--,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,Die,ART,der,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,Sunn,NN,sunn,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,",","$,",--,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,die,PRELS,der,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,brennt,VVFIN,brennen,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,dich,PPER,dich,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,do,FM,do,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,Schwärzer,FM,schwärzer,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,als,APPR,als,22342,,
gdc,jn6k.0,1013,1117,Mägde,maegde,mich,PPER,mich,22342,maegde,(13)
gdc,jn6k.0,1013,1117,Mägde,maegde,"!",$.,--,22342,,
gdc,jn6k.0,1123,1161,Knechte,knechte,Jujujuheh,NE,jujujuheh,22342,,
gdc,jn6k.0,1123,1161,Knechte,knechte,"!",$.,--,22342,,
gdc,jn6k.0,1123,1161,Mägde,maegde,Jujujuheh,NE,jujujuheh,22342,,
gdc,jn6k.0,1123,1161,Mägde,maegde,"!",$.,--,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,Au,XY,au,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,weh,XY,weh,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,"!",$.,--,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,Au,XY,au,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,weh,XY,weh,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,"!",$.,--,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,Hebt,VVFIN,heben,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,schon,ADV,schon,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,wieder,ADV,wieder,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,so,ADV,so,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,a,APPR,--,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,sakrischer,ADJA,sakrisch,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,Tag,NN,tag,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,an,PTKVZ,an,22342,,
gdc,jn6k.0,1268,1337,Grillhofer,grillhofer,.,$.,--,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,No,FM,--,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,kimm,FM,kimm,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,nur,ADV,nur,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,Bauer,NN,bauer,22342,bauer,(10)
gdc,jn6k.0,1342,1419,Rosl,rosl,.,$.,--,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,Da,ADV,da,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,steht,VVFIN,stehen,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,schon,ADV,schon,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,dein,PIAT,dein,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,Suppen,NN,suppe,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,;,$.,--,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,laß,VVFIN,lassen,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,s,PPER,--,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,',$(,--,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,nit,ADV,nit,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,kalt,ADJD,kalt,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,werdn,VAINF,werdn,22342,,
gdc,jn6k.0,1342,1419,Rosl,rosl,.,$.,--,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,Ah,NE,ah,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,was,PWS,was,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,–,XY,–,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,meintswegn,VVFIN,meintswegn,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,.,$.,--,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,Mir,PPER,sich,22342,grillhofer,(0)
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,schlagt,VVFIN,schlagen,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,eh,ADV,eh,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,nix,ADJD,nix,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,mehr,PIS,mehr,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,an,PTKVZ,an,22342,,
gdc,jn6k.0,1425,1596,Grillhofer,grillhofer,.,$.,--,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,Wer,PWS,wer,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,weiß,VVFIN,weiß,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,Bauer,NN,bauer,22342,bauer,(10)
gdc,jn6k.0,1600,1676,Rosl,rosl,.,$.,--,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,Wann,PWAV,wann,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,dich,PPER,dich,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,der,ART,der,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,liebe,ADJA,lieb,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,Gott,NN,gott,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,wieder,ADV,wieder,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,gsund,ADJD,gsund,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,machen,VVINF,machen,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,will,VMFIN,wollen,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,.,$.,--,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,.,$.,--,22342,,
gdc,jn6k.0,1600,1676,Rosl,rosl,.,$.,--,22342,,
gdc,jn6k.0,1681,1710,Grillhofer,grillhofer,Er,PPER,er,22342,,
gdc,jn6k.0,1681,1710,Grillhofer,grillhofer,will,VMFIN,wollen,22342,,
gdc,jn6k.0,1681,1710,Grillhofer,grillhofer,aber,ADV,aber,22342,,
gdc,jn6k.0,1681,1710,Grillhofer,grillhofer,net,VVPP,net,22342,,
gdc,jn6k.0,1681,1710,Grillhofer,grillhofer,"!",$.,--,22342,,
gdc,jn6k.0,1715,1754,Rosl,rosl,Ah,XY,ah,22342,,
gdc,jn6k.0,1715,1754,Rosl,rosl,freilich,ADV,freilich,22342,,
gdc,jn6k.0,1715,1754,Rosl,rosl,"!",$.,--,22342,,
gdc,jn6k.0,1715,1754,Rosl,rosl,Er,PPER,er,22342,,
gdc,jn6k.0,1715,1754,Rosl,rosl,wird,VAFIN,werden,22342,,
gdc,jn6k.0,1715,1754,Rosl,rosl,schon,ADV,schon,22342,,
gdc,jn6k.0,1715,1754,Rosl,rosl,wolln,NN,wolln,22342,,
gdc,jn6k.0,1715,1754,Rosl,rosl,.,$.,--,22342,,
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,Er,PPER,er,22342,,
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,will,VMFIN,wollen,22342,,
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,aber,ADV,aber,22342,,
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,net,VVPP,net,22342,,
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,ich,PPER,ich,22342,grillhofer,(0)
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,weiß,VVFIN,weiß,22342,,
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,',$(,--,22342,,
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,s,PPER,--,22342,,
gdc,jn6k.0,1759,1808,Grillhofer,grillhofer,"!",$.,--,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,No,FM,--,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,ja,FM,ja,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,nachher,FM,nachher,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,is,FM,--,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,',$(,--,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,s,PPER,--,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,was,PIS,was,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,anders,ADV,anders,22342,,
gdc,jn6k.0,1813,1862,Rosl,rosl,.,$.,--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Weißt,VVFIN,weißen,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Rosl,NE,rosl,22342,rosl,(1)
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,du,PPER,du,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,mußt,VVFIN,mussen,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,',$(,--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,s,PPER,--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,nit,ADV,nit,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,so,ADV,so,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,aufnehmen,VVINF,aufnehmen,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,wonn,PWAV,wonn,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,ich,PPER,ich,22342,grillhofer,(0)
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,dich,PRF,dich,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,anschrei,ADJD,anschrei,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,"!",$.,--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Es,PPER,es,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,is,VAFIN,--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,nit,ADV,nit,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,so,ADV,so,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,bös,ADJD,bös,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,gemeint,VVPP,meinen,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,.,$.,--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Aber,KON,aber,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,weißt,VVFIN,weißen,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,wonn,PWAV,wonn,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,man,PIS,man,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,in,APPR,in,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Erkenntnus,NN,erkenntnus,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,der,ART,der,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Sündhaftigkeit,NN,sündhaftigkeit,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,schon,ADV,schon,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,so,ADV,so,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,weit,ADJD,weit,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,kämma,VVFIN,kämma,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,is,PPER,--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,daß,KOUS,daß,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,man,PIS,man,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,sich,PRF,sich,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,frei,ADJD,frei,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,in,APPR,in,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,alles,PIS,alle,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,schicket,VVFIN,schicket,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,wonn,PWAV,wonn,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,einm,ADJD,einm,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,glei,ADV,glei,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,in,APPR,in,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Gottesnam,NN,gottesnam,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,der,ART,der,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Teufel,NN,teufel,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,holet,VVFIN,holet,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,so,ADV,so,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,laßt,VVFIN,lassen,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,man,PIS,man,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,sich,PRF,sich,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,selbn,ADJD,selbn,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Zustand,NN,zustand,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,der,ART,der,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,Gnad,NN,gnad,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,von,APPR,von,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,neamad,NE,neamad,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,mehr,ADV,mehr,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,gern,ADV,gern,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,abreden,VVINF,abreden,22342,,
gdc,jn6k.0,1867,2200,Grillhofer,grillhofer,.,$.,--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,No,FM,--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,jo,FM,jo,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,freilich,ADV,freilich,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,freilich,ADV,freilich,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,wohl,ADV,wohl,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,wohl,ADV,wohl,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,Bauer,NN,bauer,22342,bauer,(10)
gdc,jn6k.0,2205,2303,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,wann,PWAV,wann,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,',$(,--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,s,PPER,--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,a,ADV,--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,so,ADV,so,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,is,ADJD,--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,",","$,",--,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,so,ADV,so,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,bleib,ADJD,bleib,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,holt,VVFIN,holen,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,in,APPR,in,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,dein,PPOSAT,dein,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,Zustand,NN,zustand,22342,,
gdc,jn6k.0,2205,2303,Rosl,rosl,.,$.,--,22342,,
gdc,jn6k.0,2363,2388,Wastl,wastl,Gutn,NE,gutn,22342,,
gdc,jn6k.0,2363,2388,Wastl,wastl,Morgn,NE,morgn,22342,,
gdc,jn6k.0,2363,2388,Wastl,wastl,",","$,",--,22342,,
gdc,jn6k.0,2363,2388,Wastl,wastl,Bauer,NN,bauer,22342,bauer,(10)
gdc,jn6k.0,2363,2388,Wastl,wastl,.,$.,--,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,Gutn,NE,gutn,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,Morgn,NE,morgn,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,Wastl,NE,wastl,22342,wastl,(2)
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,.,$.,--,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,Na,ITJ,na,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,na,ITJ,na,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,laß,VVFIN,lassen,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,nur,ADV,nur,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,dein,PPOSAT,dein,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,Pfeif,NN,pfeif,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,in,APPR,in,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,Maul,NE,maul,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,",","$,",--,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,geht,VVFIN,gehen,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,dir,PPER,dir,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,sunst,ADJD,sunst,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,aus,PTKVZ,aus,22342,,
gdc,jn6k.0,2393,2479,Grillhofer,grillhofer,.,$.,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,Kann,VMFIN,können,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,',$(,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,s,PPER,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,wohl,ADV,wohl,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,derwarten,VVINF,derwarten,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,.,$.,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,Es,PPER,es,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,is,VAFIN,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,für,APPR,für,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,dich,PPER,dich,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,net,ADJD,net,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,zutraglich,ADJD,zutraglich,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,",","$,",--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,kunnt,VVFIN,kunnen,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,dich,PPER,dich,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,reizen,VVFIN,reizen,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,",","$,",--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,hust,ADV,hust,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,ehnder,ADV,ehnder,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,zviel,PIS,zviel,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,.,$.,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,–,XY,–,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,No,FM,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,werdn,FM,werdn,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,wir,PPER,wir,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,heunt,VVFIN,heunt,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,schaun,PTKVZ,schaun,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,",","$,",--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,daß,KOUS,daß,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,wir,PPER,wir,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,',$(,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,s,ART,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,Heu,NN,heu,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,hereinkriegn,VVIZU,hereinkriegn,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,",","$,",--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,',$(,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,s,ART,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,Wetter,NN,wetter,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,wird,VAFIN,werden,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,neama,PTKA,neama,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,lang,ADJD,lang,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,so,ADV,so,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,sauber,ADJD,sauber,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,aushalten,VVINF,aushalten,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,.,$.,--,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,Gestern,ADV,gestern,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,schon,ADV,schon,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,um,APPR,um,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,Mittag,NN,mittag,22342,,
gdc,jn6k.0,2484,2973,Wastl,wastl,hot,ADJD,--,22342,,
