corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,kq6k.0,619,845,_stage,645,657,mehre Bürger,die_buerger_1-5
gdc,kq6k.0,619,845,_stage,694,703,Studenten,studenten
gdc,kq6k.0,619,845,_stage,719,723,Kern,kern
gdc,kq6k.0,619,845,_stage,725,733,Weinhold,weinhold
gdc,kq6k.0,619,845,_stage,738,744,Zunder,zunder
gdc,kq6k.0,619,845,_stage,791,796,Wirth,wirth
gdc,kq6k.0,619,845,_stage,801,808,Annchen,annchen
gdc,kq6k.0,847,1145,kern,961,965,mich,kern
gdc,kq6k.0,847,1145,kern,996,999,Ich,kern
gdc,kq6k.0,847,1145,kern,1033,1036,ich,kern
gdc,kq6k.0,847,1145,kern,1041,1045,mich,kern
gdc,kq6k.0,847,1145,kern,1082,1085,ich,kern
gdc,kq6k.0,1150,1493,weinhold,1203,1207,mich,weinhold
gdc,kq6k.0,1150,1493,weinhold,1248,1251,ich,weinhold
gdc,kq6k.0,1150,1493,weinhold,1331,1335,mich,weinhold
gdc,kq6k.0,1150,1493,weinhold,1425,1428,mir,weinhold
gdc,kq6k.0,1150,1493,weinhold,1450,1453,ich,weinhold
gdc,kq6k.0,1504,1526,_stage,1508,1515,Annchen,annchen
gdc,kq6k.0,1497,1922,zunder,1575,1583,Weinhold,weinhold
gdc,kq6k.0,1497,1922,zunder,1591,1595,Kern,kern
gdc,kq6k.0,1497,1922,zunder,1650,1653,ich,zunder
gdc,kq6k.0,1497,1922,zunder,1678,1681,Ich,zunder
gdc,kq6k.0,1497,1922,zunder,1688,1692,mich,zunder
gdc,kq6k.0,1497,1922,zunder,1799,1802,mir,zunder
gdc,kq6k.0,1497,1922,zunder,1882,1889,Annchen,annchen
gdc,kq6k.0,1928,1984,annchen,1964,1967,ich,annchen
gdc,kq6k.0,1928,1984,annchen,1968,1972,mein,annchen
gdc,kq6k.0,2295,2350,zunder,2303,2306,Ich,zunder
gdc,kq6k.0,3018,3065,zunder,3038,3046,Weinhold,weinhold
gdc,kq6k.0,3355,3389,_stage,3355,3361,Wagner,wagner
gdc,kq6k.0,3355,3389,_stage,3363,3368,Faust,faust
gdc,kq6k.0,3390,3509,_stage,3475,3482,Annchen,annchen
gdc,kq6k.0,3511,3558,weinhold,3537,3543,Wagner,wagner
gdc,kq6k.0,3606,3689,weinhold,3617,3620,Ich,weinhold
gdc,kq6k.0,3694,3729,wagner,3725,3728,mir,wagner
gdc,kq6k.0,3734,4437,weinhold,3769,3772,Ich,weinhold
gdc,kq6k.0,3734,4437,weinhold,3873,3878,Faust,faust
gdc,kq6k.0,3734,4437,weinhold,3986,3989,ich,weinhold
gdc,kq6k.0,3734,4437,weinhold,4009,4012,mir,weinhold
gdc,kq6k.0,3734,4437,weinhold,4039,4045,meiner,weinhold
gdc,kq6k.0,3734,4437,weinhold,4068,4071,mir,weinhold
gdc,kq6k.0,3734,4437,weinhold,4159,4162,Ich,weinhold
gdc,kq6k.0,3734,4437,weinhold,4177,4180,ich,weinhold
gdc,kq6k.0,3734,4437,weinhold,4341,4346,Faust,faust
gdc,kq6k.0,4443,4626,wagner,4500,4506,meinen,wagner
gdc,kq6k.0,4632,4844,weinhold,4758,4762,mich,weinhold
gdc,kq6k.0,4632,4844,weinhold,4768,4771,ich,weinhold
gdc,kq6k.0,4632,4844,weinhold,4788,4791,Ich,weinhold
gdc,kq6k.0,5504,5743,weinhold,5581,5585,Mich,weinhold
gdc,kq6k.0,5504,5743,weinhold,5622,5627,Faust,faust
gdc,kq6k.0,5749,6238,zunder,6079,6084,Faust,faust
gdc,kq6k.0,6244,7183,kern,6404,6407,Ich,kern
gdc,kq6k.0,6244,7183,kern,6586,6591,Faust,faust
gdc,kq6k.0,6244,7183,kern,6598,6602,mich,kern
gdc,kq6k.0,6244,7183,kern,7060,7065,Faust,faust
gdc,kq6k.0,7189,7541,wagner,7247,7251,mich,wagner
gdc,kq6k.0,7189,7541,wagner,7432,7436,Mein,wagner
gdc,kq6k.0,7548,7725,nase,7646,7649,Ich,nase
gdc,kq6k.0,8196,8297,nase,8254,8259,Faust,faust
gdc,kq6k.0,8606,8808,weinhold,8636,8642,Wagner,wagner
gdc,kq6k.0,8606,8808,weinhold,8764,8770,Wagner,wagner
gdc,kq6k.0,8606,8808,weinhold,8779,8784,Faust,faust
gdc,kq6k.0,9095,9187,wirth,9136,9142,meinem,wirth
gdc,kq6k.0,9339,9456,wirth,9429,9432,ich,wirth
gdc,kq6k.0,9339,9456,wirth,9442,9446,mein,wirth
gdc,kq6k.0,9929,9939,_stage,9932,9938,Wagner,wagner
gdc,kq6k.0,9992,10038,wagner,10000,10003,Ich,wagner
gdc,kq6k.0,9992,10038,wagner,10011,10015,mich,wagner
gdc,kq6k.0,9992,10038,wagner,10025,10029,mich,wagner
gdc,kq6k.0,10048,10106,_stage,10060,10069,Studenten,studenten
gdc,kq6k.0,10392,10436,_stage,10429,10435,Wagner,wagner
gdc,kq6k.0,10472,10563,_stage,10520,10526,Wagner,wagner
gdc,kq6k.0,10648,10787,fausts_vater,10757,10762,Faust,faust
gdc,kq6k.0,10797,10831,_stage,10809,10816,Annchen,annchen
gdc,kq6k.0,10922,11025,fausts_vater,10992,10995,mir,fausts_vater
gdc,kq6k.0,11031,11078,wagner,11039,11042,Ich,wagner
gdc,kq6k.0,11218,11299,studenten,11253,11258,Faust,faust
gdc,kq6k.0,11304,11339,fausts_vater,11319,11324,Faust,faust
gdc,kq6k.0,11304,11339,fausts_vater,11329,11333,mein,fausts_vater
