corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,tx4z.0,995,1011,_stage,1003,1010,Domingo,domingo
gdc,tx4z.0,1013,2185,domingo,1460,1463,Ich,domingo
gdc,tx4z.0,1013,2185,domingo,1665,1668,Ich,domingo
gdc,tx4z.0,1013,2185,domingo,1889,1892,Ich,domingo
gdc,tx4z.0,2192,2305,carlos,2251,2254,ich,carlos
gdc,tx4z.0,2192,2305,carlos,2284,2290,meiner,carlos
gdc,tx4z.0,2331,2540,carlos,2411,2414,ich,carlos
gdc,tx4z.0,2331,2540,carlos,2443,2449,meinen,carlos
gdc,tx4z.0,2331,2540,carlos,2459,2464,Meine,carlos
gdc,tx4z.0,2331,2540,carlos,2486,2489,ich,carlos
gdc,tx4z.0,2633,2895,carlos,2646,2651,meine,carlos
gdc,tx4z.0,2633,2895,carlos,2674,2677,mir,carlos
gdc,tx4z.0,2633,2895,carlos,2685,2691,meines,carlos
gdc,tx4z.0,2633,2895,carlos,2722,2726,Mein,carlos
gdc,tx4z.0,2633,2895,carlos,2737,2741,mich,carlos
gdc,tx4z.0,2633,2895,carlos,2756,2760,Mein,carlos
gdc,tx4z.0,2901,3416,domingo,2923,2929,meiner,domingo
gdc,tx4z.0,2901,3416,domingo,2969,2976,Königin,koenigin
gdc,tx4z.0,2901,3416,domingo,3128,3135,Königin,koenigin
gdc,tx4z.0,3447,4055,domingo,3584,3591,Königin,koenigin
gdc,tx4z.0,3447,4055,domingo,3697,3702,König,koenig_philipp
gdc,tx4z.0,3447,4055,domingo,3787,3794,Königin,koenigin
gdc,tx4z.0,3447,4055,domingo,3899,3904,König,koenig_philipp
gdc,tx4z.0,4060,4430,carlos,4069,4072,Ich,carlos
gdc,tx4z.0,4060,4430,carlos,4196,4199,ich,carlos
gdc,tx4z.0,4060,4430,carlos,4424,4429,König,koenig_philipp
gdc,tx4z.0,4436,4618,domingo,4465,4469,mein,domingo
gdc,tx4z.0,4436,4618,domingo,4592,4595,Ich,domingo
gdc,tx4z.0,4436,4618,domingo,4596,4600,mein,domingo
gdc,tx4z.0,4624,4711,carlos,4649,4655,meinen,carlos
gdc,tx4z.0,4838,4875,domingo,4868,4874,meiner,domingo
gdc,tx4z.0,4881,5003,carlos,4913,4916,ich,carlos
gdc,tx4z.0,4881,5003,carlos,4956,4962,meinen,carlos
gdc,tx4z.0,5010,5400,domingo,5020,5023,Ich,domingo
gdc,tx4z.0,5010,5400,domingo,5029,5033,mich,domingo
gdc,tx4z.0,5010,5400,domingo,5126,5129,ich,domingo
gdc,tx4z.0,5010,5400,domingo,5359,5362,ich,domingo
gdc,tx4z.0,5010,5400,domingo,5377,5380,Ich,domingo
gdc,tx4z.0,5406,5482,carlos,5438,5441,mir,carlos
gdc,tx4z.0,5406,5482,carlos,5448,5451,ich,carlos
gdc,tx4z.0,5568,5911,carlos,5615,5619,Mich,carlos
gdc,tx4z.0,5568,5911,carlos,5704,5708,mich,carlos
gdc,tx4z.0,5568,5911,carlos,5885,5890,König,koenig_philipp
gdc,tx4z.0,5917,5944,domingo,5926,5930,Mich,domingo
gdc,tx4z.0,5949,6407,carlos,5966,5969,ich,carlos
gdc,tx4z.0,5949,6407,carlos,5995,5998,ich,carlos
gdc,tx4z.0,5949,6407,carlos,6004,6007,ich,carlos
gdc,tx4z.0,5949,6407,carlos,6038,6041,ich,carlos
gdc,tx4z.0,5949,6407,carlos,6082,6086,mich,carlos
gdc,tx4z.0,5949,6407,carlos,6111,6124,König Philipp,koenig_philipp
gdc,tx4z.0,5949,6407,carlos,6111,6116,König,koenig_philipp
gdc,tx4z.0,5949,6407,carlos,6117,6124,Philipp,koenig_philipp
gdc,tx4z.0,5949,6407,carlos,6203,6206,mir,carlos
gdc,tx4z.0,5949,6407,carlos,6304,6307,Ich,carlos
