corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,pk6x.0,520,868,_Stage,_Stage,Szene,NN,szene,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,:,$.,--,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Das,ART,der,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Jagertsche,ADJA,jagertsch,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Wohnzimmer,NN,wohnzimmer,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,.,$.,--,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,–,XY,–,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Das,ART,der,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Zimmer,NN,zimmer,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,sieht,VVFIN,sehen,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,kahl,ADJD,kahl,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,und,KON,und,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,nüchtern,ADJD,nüchtern,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,aus,PTKVZ,aus,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,.,$.,--,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Peinliche,ADJA,peinlich,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Sauberkeit,NN,sauberkeit,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,.,$.,--,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Die,ART,der,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Betten,NN,bett,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,mit,APPR,mit,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,weißen,ADJA,weiß,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Waffelbettdecken,NN,waffelbettdeck,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,zugedeckt,VVPP,zudecken,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,.,$.,--,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Die,ART,der,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Möbeln,NN,möbel,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,mit,APPR,mit,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,weißen,ADJA,weiß,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,gehäkelten,ADJA,gehäkelt,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,»,ADJA,»,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Schonern,NN,schoner,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,«,NE,«,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,belegt,VVPP,belegen,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,.,$.,--,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Auf,APPR,auf,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,dem,ART,der,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Kleiderschrank,NN,kleiderschrank,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,mehrere,PIAT,mehrere,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Stöße,NN,stöß,28366,,
gdc,pk6x.0,520,868,_Stage,_Stage,Zeitungen,NN,zeitung,28366,,
