corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,qdmw.0,203,1012,_Stage,_Stage,Es,PPER,es,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,treten,VVFIN,treten,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,vor,APPR,vor,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,den,ART,der,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,noch,ADV,noch,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,herabgelassenen,ADJA,herabgelassen,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Vorhang,NN,vorhang,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,der,ART,der,9838,,(0
gdc,qdmw.0,203,1012,_Stage,_Stage,Dichter,NN,dichter,9838,,0)
gdc,qdmw.0,203,1012,_Stage,_Stage,und,KON,und,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,sein,PPOSAT,sein,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Freund,NN,freund,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,:,$.,--,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Der,ART,der,9838,,(0
gdc,qdmw.0,203,1012,_Stage,_Stage,Dichter,NN,dichter,9838,,0)
gdc,qdmw.0,203,1012,_Stage,_Stage,trägt,VVFIN,tragen,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,gleich,ADV,gleich,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,den,ART,der,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Personen,NN,person,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,seines,PPOSAT,sein,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Trauerspiels,NN,trauerspiel,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,die,ART,der,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,florentinische,ADJA,florentinisch,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Kleidung,NN,kleidung,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,des,ART,der,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,fünfzehnten,ADJA,fünfzehnt,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Jahrhunderts,NN,jahrhundert,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,",","$,",--,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,völlig,ADJD,völlig,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,schwarz,ADJD,schwarz,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,mit,APPR,mit,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Degen,NN,degen,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,und,KON,und,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Dolch,NN,dolch,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,",","$,",--,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,in,APPR,in,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,der,ART,der,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Hand,NN,hand,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,hält,VVFIN,halten,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,er,PPER,er,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,den,ART,der,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Hut,NN,hut,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,aus,APPR,aus,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,schwarzem,ADJA,schwarz,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Tuch,NN,tuch,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,mit,APPR,mit,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Pelz,NN,pelz,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,verbrämt,VVPP,verbrämen,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,;,$.,--,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,sein,VAINF,sein,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Freund,NN,freund,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,ist,VAFIN,sein,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,sehr,ADV,sehr,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,jung,ADJD,jung,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,",","$,",--,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,hoch,ADJD,hoch,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,gewachsen,ADJD,gewachsen,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,und,KON,und,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,mit,APPR,mit,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,hellem,ADJA,hell,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Haar,NN,haar,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,",","$,",--,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,er,PPER,er,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,trägt,VVFIN,tragen,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,die,ART,der,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,venezianische,ADJA,venezianisch,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Kleidung,NN,kleidung,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,der,ART,der,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,gleichen,ADJA,gleich,9838,,
gdc,qdmw.0,203,1012,_Stage,_Stage,Zeit,NN,zeit,9838,,
