corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,m9xz.0,1489,2051,anne,1642,1651,Christian,christian_wach
gdc,m9xz.0,1489,2051,anne,1677,1680,ich,anne
gdc,m9xz.0,1489,2051,anne,1792,1795,ich,anne
gdc,m9xz.0,2056,2298,christian_wach,2126,2129,Ich,christian_wach
gdc,m9xz.0,2056,2298,christian_wach,2180,2184,mich,christian_wach
gdc,m9xz.0,2303,2468,anne,2364,2373,Christian,christian_wach
gdc,m9xz.0,2474,2686,christian_wach,2631,2634,ich,christian_wach
gdc,m9xz.0,2474,2686,christian_wach,2652,2655,ich,christian_wach
gdc,m9xz.0,2474,2686,christian_wach,2672,2675,ich,christian_wach
gdc,m9xz.0,2691,2929,anne,2716,2720,mich,anne
gdc,m9xz.0,2691,2929,anne,2745,2749,Mich,anne
gdc,m9xz.0,2691,2929,anne,2758,2763,meine,anne
gdc,m9xz.0,2691,2929,anne,2819,2825,meinen,anne
gdc,m9xz.0,2992,3122,anne,2998,3001,Ich,anne
gdc,m9xz.0,2992,3122,anne,3009,3013,mich,anne
gdc,m9xz.0,2992,3122,anne,3048,3054,meinem,anne
gdc,m9xz.0,2992,3122,anne,3086,3089,ich,anne
gdc,m9xz.0,3127,3228,christian_wach,3177,3183,meiner,christian_wach
gdc,m9xz.0,3127,3228,christian_wach,3199,3203,mich,christian_wach
gdc,m9xz.0,3295,3480,christian_wach,3322,3326,mich,christian_wach
gdc,m9xz.0,3486,3527,anne,3497,3502,meine,anne
gdc,m9xz.0,3532,3581,christian_wach,3551,3554,mir,christian_wach
gdc,m9xz.0,3532,3581,christian_wach,3566,3569,ich,christian_wach
gdc,m9xz.0,3586,3756,anne,3746,3755,Christian,christian_wach
gdc,m9xz.0,3761,4028,christian_wach,3829,3832,ich,christian_wach
gdc,m9xz.0,3761,4028,christian_wach,3921,3924,ich,christian_wach
gdc,m9xz.0,3761,4028,christian_wach,3961,3964,mir,christian_wach
gdc,m9xz.0,4059,4214,christian_wach,4079,4082,ich,christian_wach
gdc,m9xz.0,4219,4399,anne,4249,4258,Christian,christian_wach
gdc,m9xz.0,4219,4399,anne,4264,4270,meinen,anne
gdc,m9xz.0,4219,4399,anne,4289,4292,ich,anne
gdc,m9xz.0,4405,4502,christian_wach,4437,4440,ich,christian_wach
gdc,m9xz.0,4507,4747,anne,4685,4688,ich,anne
gdc,m9xz.0,4752,4969,christian_wach,4797,4801,mich,christian_wach
gdc,m9xz.0,4752,4969,christian_wach,4945,4948,ich,christian_wach
gdc,m9xz.0,4752,4969,christian_wach,4961,4964,ich,christian_wach
gdc,m9xz.0,4974,5016,anne,4985,4988,ich,anne
gdc,m9xz.0,5021,5237,christian_wach,5067,5070,ich,christian_wach
gdc,m9xz.0,5021,5237,christian_wach,5071,5074,mir,christian_wach
gdc,m9xz.0,5021,5237,christian_wach,5111,5114,ich,christian_wach
gdc,m9xz.0,5021,5237,christian_wach,5119,5132,Bürgermeister,buergermeister
gdc,m9xz.0,5021,5237,christian_wach,5233,5236,mir,christian_wach
gdc,m9xz.0,5242,5451,anne,5278,5287,Christian,christian_wach
gdc,m9xz.0,5242,5451,anne,5289,5292,ich,anne
gdc,m9xz.0,5533,5868,anne,5544,5547,ich,anne
gdc,m9xz.0,5533,5868,anne,5596,5607,Sanitätsrat,sanitaetsrat
gdc,m9xz.0,5873,5970,christian_wach,5889,5894,meine,christian_wach
gdc,m9xz.0,5873,5970,christian_wach,5920,5923,mir,christian_wach
gdc,m9xz.0,5873,5970,christian_wach,5949,5952,ich,christian_wach
gdc,m9xz.0,5873,5970,christian_wach,5953,5956,mir,christian_wach
gdc,m9xz.0,5975,6148,anne,6008,6011,ich,anne
gdc,m9xz.0,5975,6148,anne,6012,6016,mein,anne
gdc,m9xz.0,6153,6320,christian_wach,6208,6211,ich,christian_wach
gdc,m9xz.0,6153,6320,christian_wach,6217,6220,ich,christian_wach
gdc,m9xz.0,6153,6320,christian_wach,6234,6237,Ich,christian_wach
gdc,m9xz.0,6153,6320,christian_wach,6242,6245,mir,christian_wach
